Date,Hour,Temperature,PrecipIntensity,Date_Hour,Year
12/31/2018,0,50.38,0,2018-12-31-00,2018
12/31/2018,1,49.88,0,2018-12-31-01,2018
12/31/2018,2,49.59,0,2018-12-31-02,2018
12/31/2018,3,49.55,0,2018-12-31-03,2018
12/31/2018,4,49.48,0,2018-12-31-04,2018
12/31/2018,5,48.72,0,2018-12-31-05,2018
12/31/2018,6,48.47,0,2018-12-31-06,2018
12/31/2018,7,48.3,0,2018-12-31-07,2018
12/31/2018,8,49.38,0,2018-12-31-08,2018
12/31/2018,9,52.93,0,2018-12-31-09,2018
12/31/2018,10,55.71,0,2018-12-31-10,2018
12/31/2018,11,58.2,0,2018-12-31-11,2018
12/31/2018,12,59.58,0,2018-12-31-12,2018
12/31/2018,13,60.46,0,2018-12-31-13,2018
12/31/2018,14,60.8,0,2018-12-31-14,2018
12/31/2018,15,60.17,0,2018-12-31-15,2018
12/31/2018,16,59.28,0,2018-12-31-16,2018
12/31/2018,17,57.62,0,2018-12-31-17,2018
12/31/2018,18,56.16,0,2018-12-31-18,2018
12/31/2018,19,55.59,0,2018-12-31-19,2018
12/31/2018,20,54.86,0,2018-12-31-20,2018
12/31/2018,21,54.12,0,2018-12-31-21,2018
12/31/2018,22,53.15,0,2018-12-31-22,2018
12/31/2018,23,52.4,0,2018-12-31-23,2018
12/30/2018,0,50.67,0,2018-12-30-00,2018
12/30/2018,1,50.66,0,2018-12-30-01,2018
12/30/2018,2,49.4,0,2018-12-30-02,2018
12/30/2018,3,48.28,0,2018-12-30-03,2018
12/30/2018,4,47.75,0,2018-12-30-04,2018
12/30/2018,5,46.92,0,2018-12-30-05,2018
12/30/2018,6,46.17,0,2018-12-30-06,2018
12/30/2018,7,46.76,0,2018-12-30-07,2018
12/30/2018,8,47,0,2018-12-30-08,2018
12/30/2018,9,53.94,0,2018-12-30-09,2018
12/30/2018,10,57.68,0,2018-12-30-10,2018
12/30/2018,11,59.81,0,2018-12-30-11,2018
12/30/2018,12,61.38,0,2018-12-30-12,2018
12/30/2018,13,62.62,0,2018-12-30-13,2018
12/30/2018,14,63.63,0,2018-12-30-14,2018
