Date,Temp High,Temp Low,Precipitation
12/31/2018,60.8,48.3,0
12/30/2018,63.63,46.17,0
12/29/2018,61.63,43.24,0
12/28/2018,59.48,48.88,0
12/27/2018,62.71,49.58,0
12/26/2018,65.43,49.44,0
12/25/2018,64.13,54.17,0.044
12/24/2018,66.7,53.98,0.017
12/23/2018,66.03,52.68,0
12/22/2018,69.94,52.98,0
12/21/2018,70.17,57.16,0
12/20/2018,78.32,54.26,0
12/19/2018,75.36,53.16,0
12/18/2018,67.45,53.96,0
12/17/2018,64.95,55.24,0.0015
12/16/2018,71.11,51.66,0
12/15/2018,73.62,53.01,0
12/14/2018,67.05,57.9,0
12/13/2018,76.02,52.52,0
12/12/2018,66.04,52.84,0
12/11/2018,69.34,53.59,0
12/10/2018,66.81,57.51,0
12/9/2018,70.57,55.33,0
12/8/2018,70.7,52.67,0
12/7/2018,68.1,52.67,0.0085
12/6/2018,55.43,52.91,1.053
12/5/2018,57.68,51.8,0.1925
12/4/2018,69.79,53.13,0
12/3/2018,66.86,50.41,0
12/2/2018,63.08,51.38,0
12/1/2018,63.83,50.21,0
11/30/2018,65.19,52.69,0.012
11/29/2018,61.59,54.67,0.7765
11/28/2018,67.31,54.49,0.0105
11/27/2018,75.06,58.8,0
11/26/2018,76.95,59.31,0
11/25/2018,74.7,55.83,0
11/24/2018,69.01,55.71,0
11/23/2018,68.58,54.12,0
11/22/2018,67.05,56.73,0.5545
11/21/2018,69.76,54.09,0.04
11/20/2018,72.81,55,0
11/19/2018,72.39,56.75,0
11/18/2018,74.67,55.67,0
11/17/2018,71.44,56.59,0
11/16/2018,75.19,56.69,0
11/15/2018,79.97,57.35,0
11/14/2018,78.95,61.53,0
11/13/2018,74.56,56.21,0
11/12/2018,76.47,55.19,0
11/11/2018,76.21,52.06,0
11/10/2018,77.61,56.12,0
11/9/2018,79.99,61.01,0
11/8/2018,76.14,58.41,0
11/7/2018,71.82,60.67,0
11/6/2018,75.34,62.7,0
11/5/2018,76.01,61.19,0
11/4/2018,83.86,64.87,0
11/3/2018,87.27,64.34,0
11/2/2018,88.41,64.75,0
11/1/2018,83.11,61.33,0
10/31/2018,79.83,60.58,0
10/30/2018,75.13,61.3,0
10/29/2018,76.11,61.29,0
10/28/2018,82.44,61.56,0
10/27/2018,86.92,64.07,0
10/26/2018,88.66,63.86,0
10/25/2018,79.67,63.71,0
10/24/2018,79.28,62.37,0
10/23/2018,77.36,62.36,0
10/22/2018,76.71,62.38,0
10/21/2018,80.27,63.87,0
10/20/2018,88.1,66.08,0
10/19/2018,88,65.99,0
10/18/2018,85.12,61.9,0
10/17/2018,81.73,60.53,0
10/16/2018,82.47,58.78,0
10/15/2018,79.21,62.95,0
10/14/2018,71.87,62.04,0
10/13/2018,67.84,63.01,0.3395
10/12/2018,81.25,61.27,0.3065
10/11/2018,73.79,59.8,0
10/10/2018,72.63,61.27,0
10/9/2018,74.97,62.82,0
10/8/2018,75.52,61.9,0
10/7/2018,75.09,62.58,0
10/6/2018,73.09,63.82,0
10/5/2018,76.69,63.64,0
10/4/2018,75.69,63.86,0.057
10/3/2018,74.9,67.53,0.0645
10/2/2018,78.72,68.72,0
10/1/2018,89.65,68.84,0
9/30/2018,85.34,63.13,0
9/29/2018,79.94,65.66,0
9/28/2018,81.9,65.94,0
9/27/2018,86.86,65.35,0
9/26/2018,84.54,63.23,0
9/25/2018,76.56,63.88,0
9/24/2018,77.26,64.51,0
9/23/2018,82.48,66.79,0
9/22/2018,88.1,66.05,0
9/21/2018,83.37,65.8,0
9/20/2018,83.15,63.71,0
9/19/2018,82.98,62.46,0
9/18/2018,85.75,63.76,0
9/17/2018,87.4,65.08,0
9/16/2018,87.86,66.17,0
9/15/2018,87.34,66.27,0
9/14/2018,92.96,66.66,0
9/13/2018,86.82,64.99,0
9/12/2018,82.23,66.14,0
9/11/2018,81.67,66,0
9/10/2018,84.99,66.21,0
9/9/2018,90.84,68.21,0
9/8/2018,91.87,67.89,0
9/7/2018,87.9,65.53,0
9/6/2018,80.81,65.99,0
9/5/2018,79.88,67.27,0
9/4/2018,79.28,68.13,0
9/3/2018,81.38,68.36,0
9/2/2018,79.91,68.07,0
9/1/2018,81.19,67.14,0
8/31/2018,86.04,66.08,0
8/30/2018,88.09,66.3,0
8/29/2018,86.73,66.86,0
8/28/2018,81.74,64.72,0
8/27/2018,81.24,66.08,0
8/26/2018,82.92,67.24,0
8/25/2018,82.25,66.19,0
8/24/2018,82.76,67.49,0
8/23/2018,86.2,68.37,0
8/22/2018,86.44,70.6,0
8/21/2018,85,71.06,0
8/20/2018,84.39,70.53,0
8/19/2018,87.57,70.07,0
8/18/2018,87.68,71.17,0
8/17/2018,87.61,72.2,0
8/16/2018,86.37,70.56,0
8/15/2018,85.88,69.37,0
8/14/2018,84.48,67.73,0
8/13/2018,85.72,69.06,0
8/12/2018,87.55,71.19,0
8/11/2018,89.44,72.96,0
8/10/2018,91.76,75.38,0
8/9/2018,96.49,73.62,0
8/8/2018,94.66,73.47,0
8/7/2018,97.47,73.62,0
8/6/2018,96.54,70.83,0
8/5/2018,90.01,70.31,0
8/4/2018,89.82,70.15,0
8/3/2018,90.94,71.16,0
8/2/2018,90.02,73.21,0
8/1/2018,92.74,73.04,0
7/31/2018,92.78,71.98,0
7/30/2018,91.44,73.39,0
7/29/2018,93.15,69.99,0
7/28/2018,87.09,69.92,0
7/27/2018,92.14,70.3,0
7/26/2018,87.35,72.26,0
7/25/2018,94.37,73.46,0
7/24/2018,96.62,73.25,0
7/23/2018,95.44,73.17,0
7/22/2018,90.47,68.96,0
7/21/2018,85.51,68.25,0
7/20/2018,84.73,69.61,0
7/19/2018,86.9,70.29,0
7/18/2018,86.76,69.6,0
7/17/2018,85.3,68.66,0
7/16/2018,86.14,69.62,0
7/15/2018,88,70.16,0
7/14/2018,89.18,69.69,0
7/13/2018,87.15,70.62,0
7/12/2018,89.01,71.98,0
7/11/2018,89.18,71.15,0
7/10/2018,88.79,74.29,0
7/9/2018,93.97,75.03,0
7/8/2018,95.28,78.93,0
7/7/2018,101.11,79.58,0
7/6/2018,111.37,73.35,0
7/5/2018,93.41,63.71,0
7/4/2018,82.08,64.17,0
7/3/2018,77.85,64.34,0
7/2/2018,80,64.41,0
7/1/2018,80.38,63.57,0
6/30/2018,78.3,64.36,0
6/29/2018,76.18,64.1,0
6/28/2018,78.76,62.9,0
6/27/2018,82.43,63.32,0
6/26/2018,82.14,62.9,0
6/25/2018,80.35,62.83,0
6/24/2018,77.01,63.06,0
6/23/2018,73.08,63.84,0
6/22/2018,82.27,64.44,0
6/21/2018,81.39,63.9,0
6/20/2018,82.75,61.75,0
6/19/2018,78.78,59.52,0
6/18/2018,72.78,60.17,0
6/17/2018,67.32,60.61,0.0015
6/16/2018,69.08,61.87,0
6/15/2018,81.67,64.21,0
6/14/2018,89.81,63.39,0
6/13/2018,84.86,63.71,0
6/12/2018,84.52,65.7,0
6/11/2018,86.11,64.22,0
6/10/2018,80.16,62.68,0
6/9/2018,81.24,63.72,0
6/8/2018,84.45,61.05,0
6/7/2018,77.73,59.56,0
6/6/2018,74.8,62.16,0
6/5/2018,74.3,61.92,0
6/4/2018,78.37,61.09,0
6/3/2018,82.98,61.46,0
6/2/2018,80.92,60.52,0
6/1/2018,75.55,57.16,0
5/31/2018,71.04,61.23,0.006
5/30/2018,68.32,59.7,0.0145
5/29/2018,74.59,60.2,0
5/28/2018,76.75,57.82,0
5/27/2018,73.21,57.56,0
5/26/2018,68.2,56.45,0
5/25/2018,68,57.59,0.002
5/24/2018,65.35,58.66,0.0085
5/23/2018,69.4,59.25,0
5/22/2018,66.07,58.76,0.0025
5/21/2018,63.41,59.4,0.025
5/20/2018,68.44,60.11,0
5/19/2018,67.78,58.45,0
5/18/2018,68.89,58.62,0
5/17/2018,70.81,54.45,0
5/16/2018,72.56,53.88,0
5/15/2018,70.8,54.64,0
5/14/2018,69.04,54.83,0
5/13/2018,69.18,58.17,0.0285
5/12/2018,64.65,56.82,0.03
5/11/2018,62.93,58.99,0.0135
5/10/2018,74.97,59.78,0
5/9/2018,77.74,59.32,0
5/8/2018,79.09,58.06,0
5/7/2018,78.37,56.78,0
5/6/2018,81.37,61.29,0
5/5/2018,88.54,61.9,0
5/4/2018,88.17,56.83,0
5/3/2018,72.66,52.2,0
5/2/2018,62.48,53.04,0.0185
5/1/2018,58.84,54.47,0.012
4/30/2018,64.35,55.67,0
4/29/2018,68.45,54.15,0
4/28/2018,70.52,53.23,0
4/27/2018,69.98,55.25,0
4/26/2018,71.79,54.69,0
4/25/2018,74.34,55.24,0
4/24/2018,73.75,54.63,0
4/23/2018,78.56,57.47,0
4/22/2018,82.61,57.76,0
4/21/2018,84.07,53.98,0
4/20/2018,72.93,51.57,0
4/19/2018,62.44,50.27,0.0505
4/18/2018,71.2,51.93,0
4/17/2018,69.43,49.01,0
4/16/2018,63.99,52.44,0
4/15/2018,77.5,55.85,0
4/14/2018,84.5,57.8,0
4/13/2018,78.27,53.98,0
4/12/2018,68.63,54.02,0
4/11/2018,78.28,59.4,0
4/10/2018,88.92,61.98,0
4/9/2018,93.61,58.19,0
4/8/2018,75.75,56.23,0
4/7/2018,71.41,57.71,0
4/6/2018,70.48,54.63,0
4/5/2018,69.31,56.08,0
4/4/2018,69.51,54.39,0
4/3/2018,70.7,55.83,0
4/2/2018,67.15,56.48,0
4/1/2018,68.66,55.54,0
3/31/2018,73.64,54.6,0
3/30/2018,78.81,54.46,0
3/29/2018,75.54,53.79,0
3/28/2018,75.22,52.23,0
3/27/2018,75.04,51.98,0
3/26/2018,68.83,49.51,0
3/25/2018,62.38,50.2,0
3/24/2018,63.96,52.1,0
3/23/2018,67.33,55.63,0.0915
3/22/2018,62.42,56.6,0.517
3/21/2018,64.66,56.77,0.422
3/20/2018,71,55.35,0.019
3/19/2018,72.52,48.94,0
3/18/2018,62.25,45.11,0
3/17/2018,59.98,50.47,0.1185
3/16/2018,59.24,50.05,0.189
3/15/2018,63.84,52.16,0.46
